(need	to
emes	AmS
efsher	A~$r
beemes	bAmS
bedales	bdlvS
beshas	b$eS
bas	bS
beys	byS
khvrt	Hvrt
kholile	Hlylh
gekholemt	geHlvmt
khorev	Hruv
kedey	Kdy
kimat	Kmet
kosher	K$r
makhmes	mHmS
maskem	msKym
mistome	msTmA
stam	sTM
mikoyekh	mKvH
teykef	TyKF
ki	Ky
betseylem	bqlM
elokim	AlkyM
navrey	nvrA
haodem	hAdM
goyver	gv~r
maskim	msKym
moykhl	mvHl
mekane	mknA
mekhabed	mxbd
mevatl	m~tl
meyashev	my$~
moyre	mvrA
noyeg	nvge
negeye	nvge
poter	ptvr
umkheyn	AvmHN
os	AvS
oysyes	AvSyvS
akhdes	AaHdvS
alef	AlF
alefn	AlFN
emesn	AmSN
beheyme	bhmh
beheymes	bhmvS
bokher	bHvr
bokherim	bHvryM
beysn	bySN
beys-medresh	byS-mdr$
bote-midroshim	bTy-mdr$ym
balones	belnvS
balonesn	belnvSN
berye	bryh
beryes	bryvS
bas-yekhide	bS-yHydh
bas-yekhides	bS-yHydvS
goles	glvS
goleses	glvSN
galekh	glH
galekhes	glHyM
doverakher	dvr-AaHr
doverakhers	dvr-AaHrs
doverakherte	dvr-AaHrte
doverakhertes	dvr-AaHrtes
dor	dvr
doyres	dvrvS
zkhus	zxvS
zkhuses	zxvSyM
zikorn	zKrvN
zikorns	zKrvNS
khaver	H~r
khaveyrim	H~ryM
khevre	H~rh
khevres	H~rvS
kheyder	Hdr
khadorim	HdryM
khoydesh	Hvd$
khadoshim	Hd$yM
khazn	HzN
khazones	HzNyM
khaznte	HzNte
khazontes	HzNtes
khay	Hy
khidesh	Hydv$
khideshim	Hydv$yM
khaye	Hyh
khayes	HyvS
khilek	Hylvk
khilekim	HylvkyM
khokhem	HxM
khakhomim	HxMyM
khokheme	HxMh
khakhomime	HxMvS
kholem	HlvM
khaloymes	HlvMvS
kheylek	Hlk
kheylekim	HlkyM
kheyn	HN
kheynen	HNeN
khosid	Hsyd
khosidim	HsydyM
kharote	Hrth
khezhbm	H$bvN
khezhboynes	H$bvNvS
kheyshek	H$k
khasene	HSvnh
khasenes	HSvnvS
khosn	HSN
khasanim	HSNyM
toes	tevS
teusim	tevSyM/N
tayne	tenh
taynes	tenvS
yedie	ydyeh
yedies	ydyevS
yires-hakoved	yirAS-hK~vd
yishev	yi$v~
yishuvim	yi$v~yM
yerushe	yrv$h
yerushes	yrv$vS
yosem	ySvM
yosemim	ySvMyM
yesoyme	ySvmh
yesoymes	ySvmvs
koyekh	KvH
koyekhes	KvHvS
koykh	KvH
koykhes	KvHvS
koved	K~vd
kale	Klh
kales	KlvS
kas	Kes
ksav	KSv
ksavim	KSvyM
madrekh	mdryX
madrekhim	mdryXyM
moyekh	mVH
moykhes	mVHvS
moyekhl	mvHl
mekhaber	mHbr
mekhabrim	mHbryM
mekhaberte	mHbrtef
mekhabertes	mHbrtefs
mekhutn	mHvTN
mekhutnim	mHvTNyM
makhne	mHnh
makhnes	mHnvS
mizrekh	MyzrH
milkhome	mlHmh
milkhomes	mlHmvS
melamed	mlmd
melamedim	mlmdyM
mayse	meCh
mayses	meCyvS
meshiekh	m$yH
meshikhim	m$yHyM
mishpokhe	m$pHh
mishpokhes	m$pHvS
mes	mS
meysim	mSyM
nemones	nAmnvS
nedove	nd~h
nedoves	nd~vS
nadn	ndN
nadns	ndNs
nakhes	nHS
neshome	n$mh
neshomes	n$mvS
skhoyre	sHvrh
skhoyres	sHvrvS
eyde	edh
eydes	edvS
oylem	evlM
oylems	evlMs
oylem-haemes	evlM-hAmS
eyn-hore	eyN-hre
eyn-hores	eyN-hres
aseres-yimey-tshuve	eCrS-yMy-T$v~h
ponem	pnyM
ponemer	pnyMer
peysekh	psH
tsore	qrh
tsores	qrvS
kol	kvl
koler	kvler
koyles	kvlvS
korbn	krbN
korbones	krbNvS
rebe	rby
rabeim	rbyyM
rebn	rbyN
rebns	rbyns
rakhmones	rHmnvS
reyekh	ryH
reykhes	ryHvS
rishes	ry$evS
shayle	$Alh
shayles	$AlvS
shabes	$bS
shabesym	$bSyM
shure	$vrh
shures	$vrvS
shetekh	$tH
shetekhes	$tHyM
shidekh	$ydvX
shidekhym	$ydvXyM
shaykes	$YaxvS
shaykesn	$YaxvSN
simkhe	CymHh
simkhes	CymHvS
toyre	Tvrh
takhles	TxlyS
takhlesim	TxlySyM
talmud	Tlmvd
talmed	Tlmyd
talmidim	TlmydyM
talmide	Tlmydh
talmides	TlmydvS
tshuve	T$v~h
tshuves	T$v~vS
tfile	T~ylh
tfiles	T~ylvS
tfise	T~ysh
tfises	T~ysvS
tkufe	Tkv~h
tkufes	Tkv~vS
dovid	dvd
dovidn	dvdN
noyekh	nH
noyekhn	nHN
rokhl	rHl
rokhln	rHleN
rokhel	rHl
rokheln	rHleN
avrom	AbrhM
avromen	AbrhMeN
yankev	yekv
yankevn	yekvN
elkone	Alknh
elkonen	AlknhN
levi	lW
levin	lWN
yitskhok	yqHk
yitskhokn	yqHkN
ester	AsTr
estern	AsTrN
chanah	Hnh
chanahn	HnhN
