afile	Aafylv
efsher	A~$r
beemes	bAmS
beys	beS
bas	bS
dafke	dVkA
alevay	hlVAay
kholile	Hlylh
kedey	Kdy
kimat	Kmet
mamesh	mm$
mistome	msTmA
poshet	p$vt
teykef	TyKF
goyver	gv~r
khorev	Hrv~
khasene	HSvnh
mevatl	m~tl
madrekh	mdryX
moykhl	mvHl
moyre	mvrA
meyashev	my$~
mekhabed	mxbd
maskim	msKym
maskem	msKyM
mekane	mknA
negeye	nvge
poter	ptvr
umkheyn	AvmHN
os	AvS
oysyes	AvSyvS
akhdes	AaHdvS
alef	AlF
alefn	AlFN
emes	AmS
emesn	AmSN
beheyme	bhmh
beheymes	bhmvS
bokher	bHvr
bokherim	bHvryM
beysn	bySN
beys-medresh	byS-mdr$
bote-midroshim	bTy-mdr$ym
balones	belnvS
balonesn	belnvSN
berye	bryh
beryes	bryvS
bas-yekhide	bS-yHydh
bas-yekhides	bS-yHydvS
goles	glvS
goleses	glvSN
galekh	glH
galekhes	glHyM
doverakher	dvr-AaHr
doverakhers	dvr-AaHrs
doverakherte	dvr-AaHrte
doverakhertes	dvr-AaHrtes
dor	dvr
doyres	dvrvS
zkhus	zxvS
zkhuses	zxvSyM
zikorn	zKrvN
zikorns	zKrvNS
khaver	H~r
khaveyrim	H~ryM
khevre	H~rh
khevres	H~rvS
kheyder	Hdr
khadorim	HdryM
khoydesh	Hvd$
khadoshim	Hd$yM
khazn	HzN
khazones	HzNyM
khaznte	HzNte
khazontes	HzNtes
khay	Hy
khidesh	Hydv$
khideshim	Hydv$yM
khaye	Hyh
khayes	HyvS
khilek	Hylvk
khilekim	HylvkyM
khokhem	HxM
khakhomim	HxMyM
khokheme	HxMh
khakhomime	HxMvS
kholem	Hlvm
khaloymes	HlvMvS
kheylek	Hlk
kheylekim	HlkyM
kheyn	HN
kheynen	HNeN
khosid	Hsyd
khosidim	HsydyM
kharote	Hrth
khezhbm	H$bvN
khezhboynes	H$bvNvS
kheyshek	H$k
khasenes	HSvnvS
khosn	HSN
khasanim	HSNyM
toes	tevS
teusim	tevSyM/N
tayne	tenh
taynes	tenvS
yedie	ydyeh
yedies	ydyevS
yires-hakoved	yirAS-hK~vd
yishev	yi$v~
yishuvim	yi$v~yM
yerushe	yrv$h
yerushes	yrv$vS
yosem	ySvM
yosemim	ySvMyM
yesoyme	ySvmh
yesoymes	ySvmvs
koyekh	KvH
koyekhes	KvHvS
koykh	KvH
koykhes	KvHvS
koved	K~vd
kale	Klh
kales	KlvS
kas	Kes
ksav	KSv
ksavim	KSvyM
madrekhim	mdryXyM
moyekh	mVH
moykhes	mVHvS
moyekhl	mvHl
mekhaber	mHbr
mekhabrim	mHbryM
mekhaberte	mHbrtef
mekhabertes	mHbrtefs
mekhutn	mHvTN
mekhutnim	mHvTNyM
makhne	mHnh
makhnes	mHnvS
mizrekh	MyzrH
milkhome	mlHmh
milkhomes	mlHmvS
melamed	mlmd
melamedim	mlmdyM
mayse	meCh
mayses	meCyvS
meshiekh	m$yH
meshikhim	m$yHyM
mishpokhe	m$pHh
mishpokhes	m$pHvS
mes	mS
meysim	mSyM
nemones	nAmnvS
nedove	nd~h
nedoves	nd~vS
nadn	ndN
nadns	ndNs
nakhes	nHS
neshome	n$mh
neshomes	n$mvS
nafke-mine	nfkA-mynh
nafke-mines	nfkA-mynvS
skhoyre	sHvrh
skhoyres	sHvrvS
eyde	edh
eydes	edvS
avle	eVlh
s	eVlvS
oylem	evlM
oylems	evlMs
oylem-haemes	evlM-hAmS
eyn-hore	eyN-hre
eyn-hores	eyN-hres
aseres-yimey-tshuve	eCrS-yMy-T$v~h
ponem	pnyM
ponemer	pnyMer
peysekh	psH
tsore	qrh
tsores	qrvS
kol	kvl
koler	kvler
koyles	kvlvS
